Month,SpeedingOccurrences,ShiftHours,Accidents,LonghaulKm,LocalKm,TotalKm
January,3,12085:00:00,4,671330,134187,805517
February,1,10287:00:00,1,586344,116579,702923
March,1,13396:00:00,0,710369,171016,881385
April,0,10930:00:00,1,835590,108678,944268
May,1,11170:00:00,3,631983,98812,730795
June,3,12223:00:00,2,693451,117274,810725
July,2,14671:00:00,4,785219,184989,970208
August,2,15415:00:00,2,835590,196528,1032118
September,3,16748:00:00,2,831169,286081,1117250
October,2,15999:00:00,4,797752,261201,1058953
November,3,17107:00:00,1,853065,287199,1140264
December,0,10053:00:00,2,513865,152781,666646
